siren,date_cloture_exercice,default_event,DV,GW,CJ,CK,CO,EE,GF,CG,DL,GP,GU,DX,GG,1A,CF,HN,FW,BM,DY,FS,BY,GA,EA,FV,FZ,HE,DU,BL,FP,FY,FU,FT,FX,FJ,FL,BU,BX,BJ,BK,BT,FC,CHIFFRE_AFFAIRE,RESULTAT_FINANCIER,TOTAL_ACTIF,EXPORT,ACTIF_IMMO,CP,ratio_marge_commerciale,ratio_marge_exploitation,ratio_marge_nette,ratio_duree_credit_client_jours,ratio_duree_credit_fournisseur_jours,ratio_taux_exportation,ratio_actif_immo_sur_ca
005780960,2017-10-31,0,53213,-928546,10165134,196778.5,55064775,37436087,26293590,0,10042880,143627,108347,2466471,-963827,19051426.5,284522,924137,9107694.5,0,2412730.5,170125,95291.5,1738312,29830,-23544,1918168,23019,19987,346457,530401,6084011.5,2488068,-2952,709409.5,21087905,23854199,0,1700248,37924817.5,18905214.5,99339,276875,23854199,35280,36185985.5,0,21461781,10042880,0.39621489841986457,-0.030296537838947955,0.0567384065944895,13.939645746222357,49.81346053494849,0,1.4985947144364113
005780960,2018-10-31,0,54692,-496901,10660362,196778.5,55064775,37436087,26293590,0,10042880,126517,84732,2367354,-538687,19051426.5,235673,924137,9107694.5,0,2412730.5,217157,95291.5,1738312,483565,-23544,1918168,4374,23776,346457,530401,6084011.5,2488068,-16375,709409.5,21087905,23854199,0,1747894.5,37924817.5,18905214.5,122089,310742,23854199,41785,36185985.5,0,21461781,10042880,0.37437810144750305,-0.016528310700220816,0.07744284938629917,18.74178652716972,48.716913107374744,0,1.4041261513333916
005780960,2019-10-31,0,64859,-625869,9649571,196778.5,55064775,37436087,26293590,0,10042880,106622,42743,3519093,-689749,19051426.5,307380,924137,9107694.5,0,2412730.5,223646,95291.5,1738312,470945,17823.5,1918168,24716,0,346457,530401,6084011.5,2488068,12823,709409.5,21087905,23854199,0,1747894.5,37924817.5,18905214.5,107138,348849,23854199,44453,36185985.5,0,21461781,10042880,0.3178739225280852,-0.019861138550092455,0.05264731148037669,13.492145814149442,68.58325017179598,0,1.2994990033134963
005780960,2020-10-31,0,62797,-1843746,5974494,149061,55064775,37436087,26293590,0,10042880,85611,100341,3541771.5,-1735311,19051426.5,578642,-1801970,9107694.5,0,2412730.5,133591,95291.5,1738312,1299272,11604,1918168,36112,172178,346457,530401,6084011.5,2443425,-16375,709409.5,21087905,22666214,0,994262,37924817.5,18905214.5,162205,64950,22666214,-14730,36185985.5,64950,21461781,10042880,-0.2853579676674365,-0.278046788052032,-0.14794852814854745,11.342078162384478,130.12094390332166,0.0028654984021592666,2.1504091508180414
005780960,2021-10-31,0,5,-1843746,6470475,155683,55064775,37436087,26293590,0,10042880,64748,157137,3541771.5,-1735311,19051426.5,661485,588485,9107694.5,0,2412730.5,78286,95291.5,1738312,1299272,-23544,1918168,100292.5,172178,346457,530401,6084011.5,2488068,12823,709409.5,21087905,23854199,0,1747894.5,37924817.5,18905214.5,136980,57953,23854199,-92389,36185985.5,0,21461781,10042880,-0.7861197867237244,-0.1094566415507372,0.02297713390880059,24.657105852946422,104.52380757060037,0,1.7632756849615256
016050023,2017-12-31,0,2395828,-724639,4920921,5504,17499674,10935238,6830862,0,4949432,167370,172324,395555,-1240315,6564436,845002,-730771,1820350,0,901024,192212,0,324744,18585,-17284,799727,124,1190733,346457,214811,2492647,1110571,-16375,129423,5227362,5227362,1407.5,125803,12578754,6558932,169250.5,457718,5227362,44453,10935238,0,6019822,4949432,0.6593688690416369,-0.23727359995347558,-0.13979728207076533,7.320150999044388,38.52370226734927,0,1.1515984544403086
016050023,2018-12-31,0,4662000,-543000,26480.5,0,144456,18746000,7618705,0,9085000,167370,49028,823000,-435000,10570.5,814983,-678379,54833.5,0,1041000,171521,0,5032.5,16440,-657,4760.5,300,970046,346457,265224,2737748,1164948,4870,2042,0,10049000,1407.5,581.5,71662.5,10831.5,165860,575787,10049000,44453,105912,1254310,32698.5,9085000,0.6936523401882988,-0.04328788934222311,-0.0675071151358344,0.15140421922520964,15.833004668130657,1,0.04729157618844439
016050023,2019-12-31,0,2247108,-433007,4734093,6896,17238439,10031675,7516022,0,4002354,167370,48036,519427,-781453,7206764,1177106,-339110,2089535,0,926668,157310,1392,351488,1299272,17823.5,888659,9174,690798,346457,368918,2694224,1017936,12823,205106,6362484,6362484,1407.5,118159,12504346,7199868,151235,406995,6362484,44453,10031675,0,5304478,4002354,0.5775500927529822,-0.12282199845217685,-0.05329836585836601,5.58219543918172,48.392948613296475,0,0.8337118018685784
016050023,2020-12-31,0,6784000,-756000,26480.5,0,144456,20463000,7074000,0,8468000,4000,85000,281000,-675000,10570.5,1860,-1801970,1386000,0,756998,1100790.5,0,1024000,1299272,-23544,1918168,100292.5,2877867,346457,183874,1556219,677498,3380,151000,0,6159000,1407.5,581.5,71662.5,10831.5,147855,2124174,6159000,-81000,105912,1254310,32698.5,8468000,0.7844812469556747,-0.10959571358986848,-0.3101326514044488,0.15140421922520964,25.23125720910635,1,0.04729157618844439
016050023,2021-12-31,0,2036020,684729,3775162,4714,14794519,8259096,6650387,0,3423480,167370,406254,212999,124764,6535423,2402207,325910,2104694,0,877588,122400,0,314612,1224066,17823.5,517184,0,484144,346457,68939,2327939,966855,12823,164370,6251425,6251425,0,70236,11019357,6530709,50664,283688,6251425,44453,8259096,0,4488648,3423480,0.22594187981162403,0.019957689646760538,0.05213371351331896,3.41737283899271,20.284355145725037,0,0.7180199714465102
036420172,2017-12-31,1,538658,-811,76686,0,144456,129370,180681,0,-470735,1296.5,8127,185125.5,-811,10570.5,100156,-811,54833.5,0,15022.5,38839,0,113395,1750,-46,106288.5,1620,146,12665.5,25591.5,488228,144022,0,2042,1638080,1814294,0,47566,2052873,1066476,5681.5,52964,1814294,-6830.5,105912,176214,986397,-470735,0.26669058228230497,-4.4700583257178825e-4,-4.4700583257178825e-4,7.974447177065386,207.91492253426264,0.09712538320691134,0.5436809028746168
036620219,2017-12-31,0,684419,888351,7355221,0,11882302,8407240,8611873,0,5398227,92222,19332,1258984,815461,3475062,283012,726671,3597445,0,489128,38839,0,230083,395132,-23544,667003,4490,179722,346457,243612,2265207,1592996,0,188665,9174818,9174818,0,116614,4527081,3475062,5681.5,52964,9174818,44453,8407240,0,1052019,5398227,0.26669058228230497,0.08888034618234389,0.07920277001680033,3.866026733899971,73.23015150587972,0,0.11466374591844765
036620219,2018-12-31,0,678336,1050046,7642191,0,12509250,8801673,9153742,0,6136789,81311,11096,766672,1027052,3707576,1089939,738563,3679070,0,617338,662,0,232515,545347,-23544,807390,891,49985,346457,326083,2559857,1694880,-5091,231070,9901181,9901181,0,139152,4867058,3707576,5091,9908,9901181,44453,8801674,0,1159482,6136789,0.9717376207323836,0.1087412703595662,0.07459342476417712,4.274782977909403,43.388446769118715,0,0.11710542409031811
036620219,2019-12-31,0,950927,1050046,8500388,0,13762289,9780248,9272146,0,6811268,76787,7145,680483,1027052,3982040,543217,674479,3761374,0,607767,525,0,274464,618811,-23544,857524,1795,21914,346457,356872,2650816,1614925,-4427,229470,9951645,9951645,0,105500,5261900,3982040,9517,52964,9951645,44453,9780249,0,1279860,6811268,0.9717376207323836,0.1044319808433681,0.06777562905429203,3.224550647991697,38.49488951718214,0,0.12860788342027876
036620219,2020-12-31,0,725927,-568337,12002775,0,17983452,13702269,4783686,0,6241711,81178,2500,1244342,-647016,4281182,2670395.5,-569557,2722177,0,456333,303.5,0,299142,937215,-1413,118313,0,4071784,346457,213705,1031010,452432,3631,89331,3743172,3743172,0,12465,5980676,4281182,5887,5982,3743172,44453,13702270,0,1699494,6241711,0.3692744901370779,-0.1728523295215929,-0.15215891762387623,1.0128942779012027,119.21796649039038,0,0.45402508888183607
036620219,2021-12-31,0,725927,1050046,13606535,0,19753464,15127731,7064019,0,7340182,76559,12075,1654417,1014714,4625733,2670395.5,924137,3094834,0,407420,303.5,0,344875,912044,17823.5,407241,11665,4077531,346457,116712,1700581,1017555,-2336,116107,7074335,7074335,0,48803,6146928,4625733,8223,10694,7074335,44453,15127731,0,1521195,7340182,0.9717376207323836,0.1434359554643652,0.15527551352883345,2.098323847164904,122.36646488614446,0,0.21503010530318398
047020292,2021-10-31,0,40256,167622,369728,0,9483729,5135135,1243845,0,4270242,30,9666,62414,177258,4348593,217677,188656,346752,0,69132,258563,0,136289,6387,12051,102967,9481,686704,7400,25959,344432,29137,-10726,24188,1232333,1232333,0,24044,9114001,4348593,29442,550710,1232333,-9636,5135136,0,4765408,4270242,0.549968222839607,0.1438393680928775,0.15308849150351406,5.934583698832486,29.922292519108353,0,3.866980759259064
060501491,2017-12-31,1,425473,-257771,1750628,4432,4196522,2994279,1687556,0,-854616,1296.5,25914,1208132,-231857,1202243,20755,-254897,696124,0,323446,38839,4432,135759,2948,-216,78376,77193,1561419,3058,32749,435695,153957,0,81751,1422666,1422666,0,85091,2445894,1197811,4786,52964,1422666,-24617.5,2994279,0,1248083,-854616,0.26669058228230497,-0.16297360026879112,-0.17916854693933784,17.24493251871252,207.91492253426264,0,0.8772846191586782
095680187,2017-12-31,0,2600,2242,192208,0,2283191,715651,1330512,0,455757,730,856,78139,2369,1567540,26741,7896,665452,0,89164,51866,0,76543,3871,1034,72797,1272,79213,1518,11411,347442,7984,-1165,76122,1232260,1232260,0,33315,2090983,1567540,3523,52964,1232260,-126,715651,0,523443,455757,0.04272713541273318,0.001922483891386558,0.006407738626588545,8.223355866456755,32.76880412113391,0,0.4247829191891322
095680187,2018-12-31,0,2600,-9398,255434,0,2458428,828879,1260293,0,432676,1222,985,95227,-9635,1629549,26872,-20531,641870,0,90875,46700,0,77394,4357,-481,68899,13940,195516,1998,12503,310911,6753,1301,73612,1196134,1196134,0,40653,2202994,1629549,2222,52964,1196134,237,828879,0,573445,432676,0.0937051582206782,-0.008055117570439432,-0.017164464850928072,10.337710908644015,41.65672524375962,0,0.4794153497852247
095680187,2019-12-31,0,2600,-33090,388102,0,2651333,948544,1220704,0,394199,1445,2178,116415,-32356,1702790,17283,-36168,636451,0,85864,42508,0,73241,13622,-158,61811,4000,334175,2156,8338,300441,5693,-528,66727,1121803,1121803,0,47266,2263231,1702790,2750,52964,1121803,-733,948543,0,560441,394199,0.20738614908239558,-0.02884285387006453,-0.03224095496268061,12.815745426484568,51.71906676676618,0,0.49958950011722203
095680187,2020-12-31,0,7600,-30632,533644,0,2853447,1084439,825339,0,362555,1917,2587,78840,-29962,1769008,12057,-29335,419379,0,103918,33579,0,66832,15897,397,21480,1012,513961,1760,14093,186297,3733,598,65531,708737,708737,0,10749,2319803,1769008,2153,52964,708737,-670,1084439,0,550795,362555,0.35471263499735667,-0.04227520222593148,-0.04139052991448167,4.613118124212508,52.509245857702474,0,0.7771500570733573
095680187,2021-12-31,0,23433,30306,679645,0,3051438,1221378,898382,0,388297,2144,3185,152595,31347,1830061,18452,28051,489949,0,96196,38630,0,67752,10340,702,30831,50,544336,1058,26951,174271,3613,-505,60436,788953,788953,0,22963,2371793,1830061,2657,52964,788953,-1041,1221377,0,541732,388297,0.2801714372026282,0.03973240484540904,0.035554716187149296,8.852972441535385,87.21347276922614,0,0.6866467330753543
097280622,2017-12-31,0,1068654,191205,571102,0,7172653,4141148,1681318,0,1714677,1296.5,27873,203713,219078,3031505,194216,235333,1054835,0,18421,303.5,0,298225,25971,335,11174,47,1098593,6440,13181,47680.5,67072,0,75961,1858961,1858961,0,48753,6601552,3031505,469,11089,1858961,-26576.5,4141148,0,3570047,1714677,0.9717376207323836,0.11784970206475552,0.12659383386741305,7.977056807539266,55.98825361198532,0,1.9204528766337756
097280622,2018-12-31,0,954937,216606,452332,21781,7089462,3743107,1781871,0,1642833,12,26285,193699,242878,3346355,100454,165440,1100192,0,23692,303.5,0,293069,31058,-2326,17788,2340,885769,8767,28932,50332,73099,225,61998,1995718,1995718,0,60853,6637130,3324574,244,10596,1995718,-26273,3743107,0,3312556,1642833,0.9517742544356361,0.12169955875529509,0.08289748351219962,9.274583967607981,50.202738436989364,0,1.6598316996689912
097280622,2019-12-31,0,891737,269010,597722,9909,7253311,3629663,1790922,0,1817538,112,22863,160602,291761,3623648,203072,176486,1108614,0,27537,303.5,0,289165,43648,-3182,12648,28557,685919,11948,11903,47680.5,97551,94,65018,2070719,2070719,0,51367,6655590,3613739,213,10575,2070719,-22751,3629663,0,3041851,1817538,0.9717376207323836,0.14089840292188366,0.08522933338613303,7.545267690433453,40.581565167980216,0,1.4689829957613756
097280622,2020-12-31,0,850733,-85135,886454,9909,7619197,3713519,1407076,0,1756590,0,17607,180435,-67528,3905677,355927,-59090,880510,0,15022.5,303.5,0,282029,47202,4409,4760.5,4662,866881,7539,1264,47680.5,60278,12,55164,1318212,1318212,0,6663,6732743,3895768,213,6574,1318212,-17607,3713520,0,2836975,1756590,0.9717376207323836,-0.05122696501018046,-0.04482587019386867,1.5374329015363235,58.579311423231566,0,2.152138654480463
099380107,2017-12-31,0,158555,218005,1116044,4252,4694764,1906415,2025779,0,1380502,1191,4528,101745,221342,2788349,512749,248319,628630,0,196879,75161,4252,117076,3973,1031,76235,20094,188193,27225,2219,716382,380194,-16221,44423,2198522,2198522,0,80372,3578720,2784097,35235,105877,2198522,-3337,1906415,0,794623,1380502,0.4433163009907723,0.10067763706708416,0.11294815335029625,10.531241746348988,28.549691647024638,0,0.36143509139321783
099380107,2018-12-31,0,158555,44863,857928,4252,4816808,1907546,2044904,0,1387823,4595,3956,84740,44225,2909262,180510,57582,545898,0,186685,55964,4252,125937,4257,-8480,88774,2653,122047,35705,700,781516,388140,5444,57135,2019960,2019960,0,53995,3958880,2905010,29791,86305,2019960,639,1907546,0,1053870,1387823,0.28847691327269565,0.021893997900948533,0.028506505079308502,7.490327778767896,26.03538511370011,0,0.5217281530327333
099380107,2019-12-31,0,158555,126088,897650,195,5047046,2057693,2048518,0,1501784,3746,2275,75247,124617,2989353,126536,126994,563560,0,204850,59839,195,121539,7862,1660,76846,4712,62531,34045,14702,760768,397775,6048,45500,2136370,2136370,0,73920,4149396,2989158,23743,89433,2136370,1471,2057693,0,1160238,1501784,0.2632808918408194,0.05833118794965292,0.05944382293329339,10.496630967482224,22.41305513719177,0,0.5430885099491193
099380107,2021-12-31,0,500000,146683,1963244,1250,11421402,8294200,2031540,0,1551812,43,59069,155844,205709,3127202,377814,155324,572167,0,243598,67834,1250,79995,12848,4947,69175,35,5564343,28855,30746,779203,429167,-16375,44415,2132283,2132283,0,43567,9458158,3125952,54558,101961,2132283,-59026,8294200,0,6332206,1551812,0.5267013858239915,0.09647359192002188,0.07284398928284848,6.036450524312829,44.33592288583273,0,2.969683667693266
