siren,date_jugement,nature_jugement
006950059,2019-07-16,Jugement d'ouverture d'une procédure de redressement judiciaire
007080195,2018-12-05,Jugement d'ouverture d'une procédure de redressement judiciaire
015780059,2017-03-03,Jugement d'ouverture d'une procédure de redressement judiciaire
016650111,2018-12-04,Jugement d'ouverture d'une procédure de redressement judiciaire
016850422,2021-04-27,Jugement d'ouverture de liquidation judiciaire
017150376,2019-04-30,Jugement d'ouverture d'une procédure de redressement judiciaire
017250622,2020-12-08,Jugement d'ouverture d'une procédure de redressement judiciaire
023445042,2020-09-22,Jugement d'ouverture de liquidation judiciaire
024047078,2018-07-27,Jugement d'ouverture de liquidation judiciaire
024069197,2018-07-27,Jugement d'ouverture de liquidation judiciaire
024069197,2018-07-27,Jugement d'ouverture de liquidation judiciaire
024075616,2021-11-26,Jugement d'ouverture d'une procédure de redressement judiciaire
025580119,2019-11-26,Jugement d'ouverture d'une procédure de redressement judiciaire
027010693,2018-07-06,Jugement d'ouverture de liquidation judiciaire
035820307,2017-04-25,Jugement d'ouverture d'une procédure de redressement judiciaire
035920271,2018-10-09,Jugement d'ouverture d'une procédure de redressement judiciaire
036420172,2019-01-29,Jugement d'ouverture de liquidation judiciaire
036620284,2019-01-29,Jugement d'ouverture d'une procédure de redressement judiciaire
036621217,2018-02-20,Jugement d'ouverture d'une procédure de sauvegarde
037050192,2021-01-22,Jugement d'ouverture de liquidation judiciaire
037210531,2021-08-06,Jugement d'ouverture de liquidation judiciaire
037221272,2018-10-16,Jugement d'ouverture d'une procédure de sauvegarde
045450376,2019-11-20,Jugement d'ouverture de liquidation judiciaire
045550662,2018-04-24,Jugement d'ouverture de liquidation judiciaire
046520078,2018-07-23,Jugement d'ouverture d'une procédure de redressement judiciaire
046550208,2017-07-19,Jugement d'ouverture de liquidation judiciaire
046850111,2017-01-10,Jugement d'ouverture de liquidation judiciaire
047050216,2017-12-19,Jugement d'ouverture d'une procédure de sauvegarde
047320189,2020-09-14,Jugement d'ouverture d'une procédure de redressement judiciaire
054389804,2020-06-24,Jugement d'ouverture de liquidation judiciaire
054390646,2017-11-24,Jugement d'ouverture de liquidation judiciaire
054395645,2019-06-07,Jugement d'ouverture de liquidation judiciaire
054395744,2021-10-22,Jugement d'ouverture de liquidation judiciaire
054396601,2021-09-24,Jugement d'ouverture de liquidation judiciaire
054500574,2019-05-23,Jugement d'ouverture d'une procédure de sauvegarde
055501480,2017-10-17,Jugement d'ouverture d'une procédure de redressement judiciaire
055806921,2017-01-11,Jugement d'ouverture d'une procédure de redressement judiciaire
055808034,2017-07-31,Jugement d'ouverture d'une procédure de redressement judiciaire
055810741,2021-09-29,Jugement d'ouverture d'une procédure de redressement judiciaire
056803455,2017-01-30,Jugement d'ouverture de liquidation judiciaire
056806482,2017-02-27,Jugement d'ouverture de liquidation judiciaire
056807977,2018-10-03,Jugement d'ouverture de liquidation judiciaire
057504243,2020-04-07,Jugement d'ouverture d'une procédure de redressement judiciaire
057804288,2021-01-19,Jugement d'ouverture d'une procédure de redressement judiciaire
057809162,2020-01-13,Jugement d'ouverture d'une procédure de redressement judiciaire
057810541,2020-12-07,Jugement d'ouverture de liquidation judiciaire
057812588,2018-06-28,Jugement d'ouverture d'une procédure de redressement judiciaire
057812588,2019-10-03,Jugement d'ouverture de liquidation judiciaire
